,screen names,names,user id,statuses count,friends count,followers count,number of tweets
35,louabl,Greg,3031658779,120,24,11,23
10,winchftjosh,Jalletinho ?,405809187,2112,57,42,13
59,tetunicois,lou,764203865520627712,4173,448,207,2
97,leprogreslyon,Cougar_JESSICA,3253410161,3460,9834,17926,2
152,DayGautier,Youss',1631039400,69655,376,9588,2
65,Drek_BG18,king met ariana,3429818026,13593,423,1067,2
8,claude_godin,godin claude,493400724,32756,869,484,2
63,sandrinewyork,Caramelo,2338575446,16652,293,429,2
79,victorchrls,flo,784460686491541504,592,108,69,2
123,RphLsz,Chevalier Frugume,2451580688,10046,121,1301,1
119,JoueurYoutube,AlKanzSalat (b?ta),3142907949,8254,0,1131,1
120,pelfort_deux,leo ?,2350675802,61683,1497,1015,1
121,Samir_You93,Black Mamba,1525407260,93845,841,1025,1
122,Anteverce,NEUER,4602901821,3247,365,212,1
0,TwitekOffi,Twitek?,2349466174,10546,678,689,1
124,NiinoAulnay,LaetiByLety,529336272,194,69,11,1
117,nwitha94,Philippe DouxLaplace,212144856,47748,972,2141,1
125,ToXiiKzZ59,T?tuni?ois,464502436,178036,2349,2706,1
